# fE fE_hom xAB AAir ASub Bair Bsub
6.83413 7.14 28.56 4.08 4.08 3.06 3.06 ### 6.79851 7.14 28.56 4.08 4.08 3.06 3.06
6.83673 7.14 28.56 4.08 4.08 3.57 3.06 ### 6.81188 7.14 28.56 4.08 4.08 3.57 3.06
6.83924 7.14 28.56 4.08 4.08 4.08 3.06 ### 6.82483 7.14 28.56 4.08 4.08 4.08 3.06
6.84167 7.14 28.56 4.08 4.08 4.59 3.06 ### 6.83738 7.14 28.56 4.08 4.08 4.59 3.06
6.84403 7.14 28.56 4.08 4.08 5.10 3.06 ### 6.84952 7.14 28.56 4.08 4.08 5.10 3.06
6.84631 7.14 28.56 4.08 4.08 5.61 3.06 ### 6.86127 7.14 28.56 4.08 4.08 5.61 3.06
6.84853 7.14 28.56 4.08 4.08 6.12 3.06 ### 6.87264 7.14 28.56 4.08 4.08 6.12 3.06
6.85068 7.14 28.56 4.08 4.08 6.63 3.06 ### 6.88361 7.14 28.56 4.08 4.08 6.63 3.06
6.85278 7.14 28.56 4.08 4.08 7.14 3.06 ### 6.89417 7.14 28.56 4.08 4.08 7.14 3.06
6.85482 7.14 28.56 4.08 4.08 7.65 3.06 ### 6.90428 7.14 28.56 4.08 4.08 7.65 3.06
6.85682 7.14 28.56 4.08 4.08 8.16 3.06 ### 6.91383 7.14 28.56 4.08 4.08 8.16 3.06
#6.85876 7.14 28.56 4.08 4.08 8.67 3.06 ### 6.91126 7.14 28.56 4.08 4.08 8.67 3.06
#6.86066 7.14 28.56 4.08 4.08 9.18 3.06 ### 6.90030 7.14 28.56 4.08 4.08 9.18 3.06
#6.86251 7.14 28.56 4.08 4.08 9.69 3.06 ### 6.90232 7.14 28.56 4.08 4.08 9.69 3.06
