1  1.79187  32.0715  -0.737197
2  1.81485  31.2436  -0.714221
3  1.89223  29.1025  -0.636835
4  1.98934  26.38  -0.539725
5  2.08451  23.5868  -0.444562
6  2.17234  20.918  -0.356733
7  2.25079  18.3277  -0.278282
8  2.31953  15.9631  -0.209539
9  2.37962  14.1275  -0.149446
10  2.43304  12.5939  -0.0960279
11  2.48208  11.6834  -0.0469859
12  2.52886  11.4149  -0.00021144
13  2.57497  11.5127  0.0459047
14  2.62145  11.8047  0.0923779
15  2.66876  12.1559  0.139688
16  2.71698  12.5555  0.187912
17  2.76594  12.934  0.236871
18  2.81532  13.27  0.286247
19  2.86475  13.6165  0.335681
20  2.91389  13.9433  0.38482
21  2.96242  14.2669  0.433351
22  3.01008  14.5706  0.481014
23  3.05667  14.8601  0.527604
24  3.10203  15.1247  0.572964
25  3.14605  15.3674  0.616982
26  3.18865  15.5902  0.65958
27  3.22978  15.7948  0.700711
28  3.26942  15.9827  0.740348
29  3.30755  16.1551  0.778483
30  3.34419  16.3128  0.815121
31  3.37935  16.4568  0.850277
32  3.41304  16.5878  0.883973
33  3.4453  16.7065  0.916236
34  3.47617  16.8136  0.9471
35  3.50567  16.9098  0.976599
36  3.53384  16.9955  1.00477
37  3.56072  17.0762  1.03166
38  3.58636  17.1504  1.05729
39  3.6108  17.2159  1.08173
40  3.63407  17.2779  1.105
41  3.65622  17.3374  1.12716
42  3.6773  17.3902  1.14823
43  3.69735  17.4368  1.16828
44  3.7164  17.4776  1.18733
45  3.73451  17.5422  1.20544
46  3.75171  17.6759  1.22264
47  3.76804  17.7994  1.23897
48  3.78355  17.9134  1.25448
49  3.79827  18.0184  1.2692
50  3.81224  18.1151  1.28317
51  3.82549  18.2041  1.29643
52  3.83807  18.2858  1.309
53  3.85  18.3607  1.32093
54  3.86132  18.4293  1.33225
55  3.87206  18.4919  1.34299
56  3.88225  18.5491  1.35318
57  3.89191  18.6011  1.36284
58  3.90107  18.6483  1.372
59  3.90977  18.6909  1.3807
60  3.91801  18.7294  1.38894
61  3.92584  18.764  1.39677
62  3.93326  18.7949  1.40419
63  3.9403  18.8224  1.41123
64  3.94697  18.8467  1.4179
65  3.95331  18.8679  1.42424
66  3.95932  18.8865  1.43025
67  3.96501  18.9024  1.43594
68  3.97042  18.9158  1.44135
69  3.97554  18.927  1.44647
70  3.9804  18.9361  1.45133
71  3.98501  18.9432  1.45594
72  3.98937  18.9484  1.4603
73  3.99351  18.9518  1.46444
74  3.99743  18.9537  1.46836
75  4.00114  18.954  1.47207
76  4.00465  18.9529  1.47558
77  4.00797  18.9504  1.4789
78  4.01111  18.9467  1.48204
79  4.01408  18.9418  1.48501
80  4.01688  18.9357  1.48781
81  4.01952  18.9287  1.49045
82  4.02201  18.9206  1.49294
83  4.02436  18.9116  1.49529
84  4.02656  18.9017  1.49749
85  4.02863  18.891  1.49956
86  4.03057  18.8795  1.5015
87  4.03239  18.8672  1.50332
88  4.03408  18.8543  1.50501
89  4.03566  18.8406  1.50659
90  4.03713  18.8263  1.50806
91  4.03849  18.8113  1.50942
92  4.03974  18.7958  1.51067
93  4.04089  18.7796  1.51182
94  4.04194  18.7629  1.51288
95  4.0429  18.7456  1.51383
96  4.04377  18.7278  1.5147
97  4.04454  18.7094  1.51547
98  4.04522  18.6906  1.51616
99  4.04582  18.6712  1.51675
100  4.04634  18.6513  1.51727
101  4.04677  18.6309  1.5177
102  4.04711  18.61  1.51804
103  4.04738  18.5886  1.51831
104  4.04757  18.5666  1.5185
105  4.04768  18.5442  1.51861
106  4.04772  18.5212  1.51865
107  4.04767  18.4977  1.5186
108  4.04755  18.4736  1.51849
109  4.04736  18.449  1.51829
110  4.04709  18.4239  1.51803
111  4.04675  18.3981  1.51768
112  4.04633  18.3718  1.51727
113  4.04584  18.3448  1.51678
114  4.04528  18.3172  1.51621
115  4.04464  18.2889  1.51557
116  4.04392  18.26  1.51485
