# xBAir xAAir fE_Hor fE_Ver fE_Ver2 fE_Ver3

0.080 0.080 ####### 3.34629 3.34924
0.090 0.080 ####### 3.35217 3.35393
0.100 0.080 ####### 3.35755 3.35829
0.110 0.080 ####### 3.36275 3.36258
0.120 0.080 ####### 3.36774 3.36667
0.130 0.080 ####### 3.37253 3.37054
0.140 0.080 ####### 3.37711 3.37418
0.150 0.080 ####### 3.38149 3.37756
0.160 0.080 ####### 3.38563 3.38068
0.170 0.080 ####### 3.38948 3.38363
0.180 0.080 ####### 3.38667 3.38650
0.190 0.080 ####### 3.38940 3.38912
0.200 0.080 ####### 3.39234 3.39189

