0 0.000414173 4.55013e-05 4.55013e-05 4.55013e-05 0.000481195 0.000168067 0.000168067 0.000168067 0
0.5625 0.153989 0.0062425 0.0062425 0.0062425 0.117051 0.00623746 0.00623746 0.00623746 0.308658
1.125 0.432359 0.0119088 0.0119088 0.0119088 0.350449 0.0116175 0.0116175 0.0116175 0.853553
1.6875 0.496368 0.0133206 0.0133206 0.0133206 0.424225 0.0130909 0.0130909 0.0130909 1
2.25 0.601602 0.0164023 0.0164023 0.0164023 0.300911 0.0160349 0.0160349 0.0160349 1
2.8125 0.702972 0.0202751 0.0202751 0.0202751 0.176522 0.0198375 0.0198375 0.0198375 1
3.375 0.728873 0.0226772 0.0226772 0.0226772 0.136326 0.0222006 0.0222006 0.0222006 1
3.9375 0.72223 0.0227922 0.0227922 0.0227922 0.142243 0.0223274 0.0223274 0.0223274 1
4.5 0.710566 0.0216096 0.0216096 0.0216096 0.160912 0.0211749 0.0211749 0.0211749 1
5.0625 0.704208 0.0207887 0.0207887 0.0207887 0.172197 0.0203539 0.0203539 0.0203539 1
5.625 0.704208 0.0207887 0.0207887 0.0207887 0.172197 0.0203539 0.0203539 0.0203539 1
6.1875 0.710566 0.0216096 0.0216096 0.0216096 0.160912 0.0211749 0.0211749 0.0211749 1
6.75 0.72223 0.0227922 0.0227922 0.0227922 0.142243 0.0223274 0.0223274 0.0223274 1
7.3125 0.728873 0.0226772 0.0226772 0.0226772 0.136326 0.0222006 0.0222006 0.0222006 1
7.875 0.702972 0.0202751 0.0202751 0.0202751 0.176522 0.0198375 0.0198375 0.0198375 1
8.4375 0.601602 0.0164023 0.0164023 0.0164023 0.300911 0.0160349 0.0160349 0.0160349 1
9 0.496368 0.0133206 0.0133206 0.0133206 0.424225 0.0130909 0.0130909 0.0130909 1
9.5625 0.432359 0.0119088 0.0119088 0.0119088 0.350449 0.0116175 0.0116175 0.0116175 0.853553
10.125 0.153989 0.0062425 0.0062425 0.0062425 0.117051 0.00623746 0.00623746 0.00623746 0.308658
10.6875 0.000414173 4.55013e-05 4.55013e-05 4.55013e-05 0.000481195 0.000168067 0.000168067 0.000168067 0
